Nombre, Alianza, Twitter, Facebook
Luis Alejandro Silva,REP,,
Matias Poblete,Ind,matias_disc,Matías-Poblete-Candidato-Constituyente-Distrito-13-101848738558622
Eleonora Espinoza,RN,eleonoraporelbo,EleonoraConstituyente
Susana Hiplan,RN,S_Hiplan,
Carolina Garcia,EVO-Ind,garciabcarola,coachcarolinagarcia
Alejandro Fernandez,EVO-Ind,pollofernandez,alejandrofernandez.cl
Rodolfo Seguel,DC,RodolfoSeguel,
Francisca Cabrera,Pro-Ind,,francisca.cabrera.patinajeartistico
Jorge Insunza Gregorio de Las Heras,PPD,jorgeinsunza,JorgeInsunzaG
Valeria Villegas,PR,valeconstituye,Valevillegasconstituyente
Malucha Pinto,PS,maluchayallego,maluchaconstituyente
Nicolas Freire,PL-Ind,nicofreire,
Valentina Bustamante,PEV (ex PC),,ValentinabustamanteconstituyenteD13
Hans Alexis Hube,PEV,,
Ismael Mena,PEV,,
Mariana Sandoval Llancafil,PEV,,Mariana-Sandoval-LLancafil-Constituyente-101340055246480
Cristian Gonzalez Bastias,PEV,,
Maria Jose Toro Toro,PEV,,
Varinia Aravena,Chile Feminista,varinia_aravena,Variniaconstituyente
Jorge Cristian Munoz,Mov. Avanzar,,
Maria Valentina Cofre,Mov. Avanzar,,Maria-Valentina-Cofré-Candidata-Constituyente-D13-103218241782252
Manuel Carrillo,UPA,,
Luis Mariano Rendon,IND. SIN PADRINOS,lmrendon,luismarianorendon
Sandra Huentemilla,IND. SIN PADRINOS,,
Isaac Fuentealba,IND. SIN PADRINOS,,
Mariana Gonzalez Vicencio,IND. SIN PADRINOS,MarianaGV_d13,marianagv.d13
Matias Menares,IND. SIN PADRINOS,,Pre-Candidato-Constituyente-Matías-Menares-104095764932463
Claudia Lubi,IND. SIN PADRINOS,,claudia.lubi.5
Karina Duran Jara,JUSTICIA SOCIAL,,Karina-Duran-Jara-para-Constituyente-2021-102976955075507
Hector Rubio Sepulveda,JUSTICIA SOCIAL,,hrubio28Distrito13
Ricardo Gonzalez Hidalgo,JUSTICIA SOCIAL,,
Catherinne Pino,JUSTICIA SOCIAL,kettymxta,
Keyla Zabaleta,Ind no neutrales,,KeylaDistrito13
FUERZA POPULAR TERRITORIAL,FUERZA POPULAR TERRITORIAL,,
Veronica Miranda,FUERZA POPULAR TERRITORIAL,VeroMirandaD13,
Hernan Fuentes Cruz,FUERZA POPULAR TERRITORIAL,HerFuentesCruz,HernanFuentesTeatromusical
Olga Fabiola Vargas,FUERZA POPULAR TERRITORIAL,,FabiolaConstituyente
Kevin Castro Prado,FUERZA POPULAR TERRITORIAL,,Kevin-Castro-Prado-Candidato-Constituyente-Independiente-106230781396594
Michelle Lopez,FUERZA POPULAR TERRITORIAL,,groups685713548812874
Rodrigo Rojas Vade,LISTA DEL PUEBLO,,pelaovade-111577113727788
Marcela Sarmiento,LISTA DEL PUEBLO,,
Jesus Colque,LISTA DEL PUEBLO,ColqueRoa,
Ingrid Villena,LISTA DEL PUEBLO,,
Camila Torres Povea,LISTA DEL PUEBLO,,
Andres Cuevas Navalon,LISTA DEL PUEBLO,,andrescuevasnavalon
Adriana Barrientos,FRVS-Ind,,
Daniel Andrade,RD,DAndrade_S,DanielAndradeConstituyente
Libertad Mendez,Comunes,libertad_mendez,libertadmendezconstituyente
Mirko Jimenez,Igualdad,,
Natalia Aravena,CS-Ind,NatyAravenaC,NatyAravenaConstituyente
Marcos Barraza,PC,marcosbarrazag,MarcosBarrazaGomez
Valeria Yanez,PTR,ValerosaValeria,
Kevin Bustamante,PTR,BustamanteKev1,Kevin-Bustamante-105215444894203
Emi Villalobos,PTR,,
alvaro Perez,PTR,A_Guerrero321,Alvaro.Perez.Jorquera.Constituyente.D13
Brisa Galvez,PTR-Ind,Brisade50854387,