Nombre;Lista;Twitter;Facebook
Teresa Marinovic;VAMOS CHILE;tere_marinovic;
Gonzalo Blumel;VAMOS CHILE;;
Paulina Lobos;VAMOS CHILE;PaulinaLobosH;
Diego Riveaux;VAMOS CHILE;Ribolt;
Macarena Letelier;VAMOS CHILE;macaletelierv;
Jaime Flores;VAMOS CHILE;jaimeflores_s;
Cristian Monckeberg;VAMOS CHILE;cmonckeberg;
INDS NO NEUTRALES;INDS NO NEUTRALES;NoNeutrales;
Patricia Politzer;INDS NO NEUTRALES;patriciapolitz;patriciapolitz
Jose Andres Murillo;INDS NO NEUTRALES;JosAndrsMurillo;josandrsmurillo
Gabriel Gurovic;INDS NO NEUTRALES;guro_ringale;
Macarena Lobos;INDS NO NEUTRALES;mlobospalacios;
Pablo Morris;INDS NO NEUTRALES;pamoke74;pmorrisconstituyente
Roxana Espinoza Salfate;INDS NO NEUTRALES;;
Andres Perez;INDS NO NEUTRALES;andresperezsax;
Carolina Arenas;INDS NO NEUTRALES;;
Sofia Anneke;UNION PATRIOTICA;;
Juan Pablo Soto;UNION PATRIOTICA;;
Valentina Vargas;UNION PATRIOTICA;;
Hector Aravena;UNION PATRIOTICA;;HectorAravenaPolitico
Nicoll Rojas;UNION PATRIOTICA;;
Josue Ormazabal;UNION PATRIOTICA;j_ormazabalm;josue.a.morales.39
Carmen Contreras;UNION PATRIOTICA;;
Jose albaro Morales;UNION PATRIOTICA;;
Laura Albornoz;LISTA DEL APRUEBO;lauralbornoz;lauraalbornozp
Patricio Zapata Larrain;LISTA DEL APRUEBO;;
Jose Jaime Parada Hoyl;LISTA DEL APRUEBO;JParadaHoyl;jaimeparadahoyl
Lucia Lopez;LISTA DEL APRUEBO;lucialopezchile;
Baradit;LISTA DEL APRUEBO;baradit;JorgeBaradit
Catalina Adriana Lagos Tschorne;LISTA DEL APRUEBO;catala_style;catalina.lagostschorne.9
Darwin Loreto Johns;LISTA DEL APRUEBO;Dloretojonhs;darwinloretojohns
Carolina Parraguez Pina;LISTA DEL APRUEBO;;
ECOLOGISTA VERDE;ECOLOGISTA VERDE;ecologistachile;
Maria Elena Guajardo;ECOLOGISTA VERDE;MaraElenaGuaja1;mariaelena.guajardomoraga
Gregorio Correa;ECOLOGISTA VERDE;;
Angelica Yevenes;ECOLOGISTA VERDE;;
Phelippe Romero;ECOLOGISTA VERDE;Phelippe_ConstituyenteD10;
Claudio Rosello;ECOLOGISTA VERDE;;
Consuelo Conejan;ECOLOGISTA VERDE;ConsuConejan;
Alejandra Jimenez;APRUEBO DIGNIDAD;;alejandra.j.castro.3
Fernando Atria;APRUEBO DIGNIDAD;fernando_atria;fdo.atria
Giovanna Roa;APRUEBO DIGNIDAD;giovannaroa;giovannaroa
Carlos Ruiz;APRUEBO DIGNIDAD;carlosruize;carlosruizencina
Emilia Schneider;APRUEBO DIGNIDAD;emischneiderv;emi.sch.v
Antonia Orellana;APRUEBO DIGNIDAD;totiorellanag;totiorellanag/
Pablo Selles;APRUEBO DIGNIDAD;pgselles;pgselles
Rafael Harvey;APRUEBO DIGNIDAD;RafaelHarvey3;profile.php?id=1210403014
LISTA DEL PUEBLO;LISTA DEL PUEBLO;LaListaPueblo;
Juanita Millal;LISTA DEL PUEBLO;;juanita.millalsandoval
Patricia Navarrete;LISTA DEL PUEBLO;D10Patricia;Patricia-Navarrete-Constituyente-D10-100323778666955/
Daniel Martinez Barrera;LISTA DEL PUEBLO;DaniMartinezD10;DannyMB01
Andres Saldias;LISTA DEL PUEBLO;HarryAndres303;harryandressaldias-110159764248182
Alexis Garrido;LISTA DEL PUEBLO;;AlexisGarridoConstituyente
Manuel Woldarsky;LISTA DEL PUEBLO;manuconstituye;manuconstituyente
Veronica Guzman Quilaqueo;LISTA DEL PUEBLO;GuzmanQuilaqueo;
Karina Nohales;MOV SOCIALES IND;KarinaNohales;lakarinalakarina
Luis Mesina;MOV SOCIALES IND;LuisMesina1;LuisMesinacl
Andrea Gutierrez;MOV SOCIALES IND;travesia77;andreatravesia
Francisca Fernandez;MOV SOCIALES IND;FranFDroguett;pancha.fernandezdroguett
Javier Pineda;MOV SOCIALES IND;javierpineda;javierpinedaolcay
Manuel Hidalgo;MOV SOCIALES IND;;manuel.hidalgo.7355
Pablo Sepulveda Allende;MOV SOCIALES IND;SepulvedAllende;pablo.s.allende.3
Mari?a Soledad Acun?a;IND COMO TÚ;;Mar%C3%ADa-Soledad-Acu%C3%B1a-D%C3%ADaz-106530804723324
Patricia Rubilar Severo;IND COMO TÚ;;patita.rubilarsevero
Patricio Gonzalez Ojeda;IND COMO TÚ;Patrici76512527;patricio.gonzalez.ojeda
Felipe Vargas Puga;IND COMO TÚ;23newton;felipevargasconstituyente
Karla Pinto Timmermann;IND COMO TÚ;PintoTimmermann1;karla.timmermann
Sung Young Yun;IND COMO TÚ;SungYoung_Yun;sungyoungyun
MOV. ANTICAPITALISTA;MOV. ANTICAPITALISTA;MovAnticapital;
Camilo Parada Ortiz;MOV. ANTICAPITALISTA;Camiloparada;Camiloparadaortiz
Dauno Totoro;TRABAJADORXSs REVs;DaunoTotoro;DaunoTotoroN
Suely Arancibia;TRABAJADORXSs REVs;SuelyArancibia;suelyaranciabiadistrito10
Carolina Toledo;TRABAJADORXSs REVs;CarolinaToledoS;carolina.t.sarmiento
Rafaella Ruilova;TRABAJADORXSs REVs;rafaellaruilova;rafaella.tassara
Joaquin Romero;TRABAJADORXSs REVs;joaquinromeros;joacoromero2
Maria Victoria Torres;TRABAJADORXSs REVs;Vicky31079464;SibilinaVictoriaTorres
Julio Mancilla;TRABAJADORXSs REVs;;julio.mancillamaraboli
Javier Ayarza;TRABAJADORXSs REVs;permizoo;PERMIZOODJSET
Barbara Brito;TRABAJADORXSs REVs;Barbara_Brito;BarbaraBritoCarrasco
LID;TRABAJADORXSs REVs;LID_Chile;Laizquierdadiariochile
Felipe Anselmo Rocha Gallegos;;FROCHAG1;felipe.rockcha
